Age,City,TotalPurchases,LoyaltyScore
56,Quetta,16795.338403761423,44.52465999576526
46,Islamabad,40683.847846877106,75.69339602139036
32,Lahore,13477.392083424429,33.657036439847985
60,Peshawar,34393.633388972536,71.64719982781392
25,Islamabad,38251.16513459464,61.126745886247676
38,Islamabad,30186.29828978437,53.560554061829045
56,Quetta,24107.23323895776,56.71549036492
36,Islamabad,21180.20479321616,45.326553985661036
40,Lahore,18094.545060606768,45.93416280836892
28,Lahore,46546.92806814347,67.51922505245894
28,Karachi,41700.35098159873,66.60189009503925
41,Lahore,48286.31862265911,79.2072604688729
53,Islamabad,7090.563950791691,35.334798875808865
57,Lahore,36812.50628497857,72.6595490974648
41,Quetta,46978.68238423085,74.10512561968781
20,Karachi,9880.420242117347,23.782682286966885
39,Islamabad,4258.317100972097,23.04544248051386
19,Karachi,37314.911815212894,52.11851277325078
41,Islamabad,29149.18254581568,57.24993697277949
61,Quetta,42249.610061155334,82.77780012367975
47,Karachi,7848.846454688185,33.07661591284795
55,Peshawar,39968.09828113462,77.62080517898481
19,Islamabad,10879.738682339483,25.407559581765607
38,Peshawar,9019.14120041952,32.439417596154506
50,Karachi,9049.024098618655,34.80227097153842
29,Peshawar,40914.161291337725,65.6252034121647
39,Peshawar,33594.66381411381,60.23687853195386
61,Karachi,26630.205813686847,65.90806251712895
42,Quetta,18582.693722051623,43.0517757939276
44,Peshawar,43982.826499842304,74.0664485250741
59,Peshawar,20229.810263709132,52.5481785627652
45,Quetta,41013.37253410728,72.09462282939984
33,Peshawar,22517.610519940703,44.45458355911305
32,Peshawar,19470.27704182047,40.336257016039106
64,Peshawar,23671.309497810715,61.10391647799656
61,Lahore,15767.515834042963,50.76309302621117
20,Quetta,37632.8596286363,54.71434788253477
54,Peshawar,25633.299114531477,56.01492830625403
24,Quetta,12378.422062194048,24.934450480805562
38,Islamabad,45079.154090453856,75.04508709915157
26,Islamabad,19810.669847287358,37.713448437801404
56,Peshawar,27634.090194585442,57.449232691601885
35,Quetta,45417.1334372628,74.19406697831523
21,Quetta,31587.661799785612,52.16606445254804
42,Quetta,6728.003994709839,27.641771092134743
31,Lahore,47051.774057060284,72.63444896102443
26,Islamabad,31757.694600499475,50.16231733333465
43,Quetta,17410.37511819722,43.649063992779
19,Quetta,7824.331560505976,16.55718009445672
37,Lahore,39907.2342742445,66.24578981489584
45,Lahore,31383.565040497164,62.12290630459416
64,Quetta,27139.593506839756,67.03893568680539
24,Karachi,44800.73656949693,66.61387552123568
61,Quetta,39641.26335000201,77.39142541358292
25,Quetta,8432.069106904808,19.433280759598556
64,Lahore,16274.381321981864,50.01415816389967
52,Lahore,13175.96785090882,40.87261461158103
31,Quetta,37453.36833606117,59.04857443667017
34,Quetta,2643.0893020531894,20.29081309909106
53,Quetta,28924.59455869451,60.52573799809084
57,Lahore,38360.47560129384,74.87681346622348
21,Quetta,43961.51620132572,65.65907404368619
19,Quetta,17762.005687079465,30.001482382036635
23,Peshawar,41241.60792892863,58.22419556020591
59,Karachi,6420.955110805154,35.80173093671643
21,Islamabad,42476.162294991394,62.63857169393622
46,Karachi,7246.944454267138,33.05222091502591
35,Peshawar,20467.077237457997,42.872663078982065
43,Islamabad,40067.472923198125,72.18244211961378
61,Quetta,8345.953940089916,40.14241858835393
51,Peshawar,12233.318366399433,44.284314335697964
27,Quetta,36390.37585126025,58.80482529372412
53,Lahore,36281.79029075764,64.99117340849342
31,Peshawar,32416.23401137957,58.00079807358262
48,Lahore,35003.4737788879,64.47019531439403
32,Peshawar,27593.49772403221,47.04399488992479
25,Peshawar,13338.153886440685,29.553326883394607
31,Lahore,17939.103681692053,33.55056347335737
40,Islamabad,9898.288123269858,30.4870072852806
57,Karachi,45514.07750534779,86.23109008766576
38,Quetta,29586.197943539904,55.615872690242895
33,Peshawar,20641.719421418355,42.89454286758046
62,Quetta,23638.2843785625,58.05212005328005
35,Lahore,47416.88364097895,71.32352037123853
64,Quetta,8514.21875268793,43.63069736185298
41,Lahore,29725.261768823064,58.030826435071575
43,Quetta,25788.545265338835,54.21624109056882
42,Karachi,30961.257536297744,58.571647503793024
62,Karachi,1887.399007221185,31.33074232172128
58,Karachi,43734.07153826342,86.35642502203557
46,Karachi,46673.79584169701,79.96812989600477
32,Karachi,28691.525995871238,50.08205791186715
